IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1500000000,39.9904870,43.3910150,1,0,0,0
1500000001,39.9947790,43.3925830,1,0,0,0
1500000002,39.9925870,43.3974760,1,0,0,0
1500000003,39.9941040,43.3980180,1,0,0,0
1500000004,39.9832760,43.3983340,3,0,0,0
1500000005,39.9754500,43.3984010,1,0,0,0
1500000006,39.9529210,43.3995040,1,0,0,0
1500000007,39.9770800,43.4005310,1,0,0,0
1500000008,39.9995820,43.4009660,1,0,0,0
1500000009,39.9953571,43.4009942,1,0,0,0
1500000010,39.9621470,43.4024110,1,0,0,0
1500000011,39.9797800,43.4036980,1,0,0,0
1500000012,39.9468900,43.4048740,1,0,0,0
1500000013,39.9468920,43.4048740,1,0,0,0
1500000014,39.9718850,43.4049340,1,0,0,0
1500000015,39.9973650,43.4064070,1,0,0,0
1500000016,39.9877930,43.4064940,1,0,0,0
1500000017,39.9736110,43.4066550,3,0,0,0
1500000018,39.9874230,43.4077400,1,0,0,0
1500000019,39.9852100,43.4080620,1,0,0,0
1500000020,39.9597910,43.4090410,3,0,0,0
1500000021,39.9741220,43.4108470,1,0,0,0
1500000022,39.9807210,43.4109160,1,0,0,0
1500000023,39.9531520,43.4109327,3,0,0,0
1500000024,39.9784780,43.4110330,1,0,0,0
1500000025,39.9433970,43.4116900,1,0,0,0
1500000026,39.9399430,43.4132320,1,0,0,0
1500000027,39.9758710,43.4133090,1,0,0,0
1500000028,39.9481100,43.4137860,1,0,0,0
1500000029,39.9396640,43.4160340,1,0,0,0
1500000030,39.9715510,43.4160490,1,0,0,0
1500000031,39.9493790,43.4165560,1,0,0,0
1500000032,39.9672570,43.4167410,1,0,0,0
1500000033,39.9492530,43.4171100,1,0,0,0
1500000034,39.9403700,43.4173070,1,0,0,0
1500000035,39.9512830,43.4175460,1,0,0,0
1500000036,39.9421610,43.4191350,1,0,0,0
1500000037,39.9617705,43.4195460,1,0,0,0
1500000038,39.9550489,43.4197260,1,0,0,0
1500000039,39.9387840,43.4217160,1,0,0,0
1500000040,39.9415734,43.4223701,1,0,0,0
1500000041,39.9367660,43.4278750,1,0,0,0
1500000042,39.9204920,43.4292770,1,0,0,0
1500000043,39.9169430,43.4309370,1,0,0,0
1500000044,39.9230900,43.4319500,1,0,0,0
1500000045,39.9176650,43.4339690,1,0,0,0
1500000046,39.9381590,43.4340180,1,0,0,0
1500000047,39.9384540,43.4342050,1,0,0,0
1500000048,39.9316090,43.4359290,1,0,0,0
1500000049,39.9119190,43.4374740,1,0,0,0
1500000050,39.9177700,43.4401630,1,0,0,0
1500000051,39.9164310,43.4404980,1,0,0,0
1500000052,39.9229150,43.4421580,1,0,0,0
1500000053,39.9278350,43.4460170,1,0,0,0
1500000054,39.9332800,43.4481720,1,0,0,0
1500000055,39.9395020,43.4497520,1,0,0,0
1500000056,39.9470090,43.4503470,1,0,0,0
1500000057,39.9504800,43.4515570,1,0,0,0
1500000058,39.9049500,43.4518900,1,0,0,0
1500000059,39.9041490,43.4549980,1,0,0,0
1500000060,39.9002840,43.4675340,1,0,0,0
1500000061,39.9886710,43.4870010,1,0,0,0
1500000062,39.8542900,43.5184370,1,0,0,0
1500000063,39.8539670,43.5184390,1,0,0,0
1500000064,39.8096500,43.5363700,1,0,0,0
1500000065,40.0003910,43.5423210,1,0,0,0
1500000066,39.7932580,43.5433920,1,0,0,0
1500000067,39.7937410,43.5577130,1,0,0,0
1500000068,39.7498250,43.5654330,1,0,0,0
1500000069,39.7448600,43.5663510,1,0,0,0
1500000070,39.7447300,43.5664200,1,0,0,0
1500000071,39.7401000,43.5689750,1,0,0,0
1500000072,39.7400430,43.5691550,1,0,0,0
1500000073,39.7394260,43.5692610,1,0,0,0
1500000074,39.7353170,43.5722690,1,0,0,0
1500000075,39.7354210,43.5723040,1,0,0,0
1500000076,39.7353480,43.5723130,1,0,0,0
1500000077,39.7349950,43.5723570,1,0,0,0
1500000078,39.7313920,43.5752000,1,0,0,0
1500000079,39.7303030,43.5758550,1,0,0,0
1500000080,39.7298620,43.5761540,1,0,0,0
1500000081,39.7281550,43.5775260,1,0,0,0
1500000082,39.7278800,43.5778020,1,0,0,0
1500000083,39.7276680,43.5779770,1,0,0,0
1500000084,39.7271950,43.5780900,1,0,0,0
1500000085,39.7238610,43.5846710,1,0,0,0
1500000086,39.7184620,43.5850060,3,0,0,0
1500000087,39.7263620,43.5876650,1,0,0,0
1500000088,39.7268010,43.5892110,1,0,0,0
1500000089,39.7265950,43.5892400,1,0,0,0
1500000090,39.7266010,43.5895010,1,0,0,0
1500000091,39.7268940,43.5896160,1,0,0,0
1500000092,39.7271280,43.5920160,3,0,0,0
1500000093,39.7276030,43.5924440,3,0,0,0
1500000094,39.7276350,43.5928350,3,0,0,0
1500000095,39.7278440,43.5928420,3,0,0,0
1500000096,39.7279200,43.5932490,3,0,0,0
1500000097,39.7176360,43.5932710,1,0,0,0
1500000098,39.7283330,43.5934730,1,0,0,0
1500000099,39.7282780,43.5935840,1,0,0,0
1500000100,39.7212370,43.5946210,1,0,0,0
1500000101,39.7314720,43.5947350,1,0,0,0
1500000102,39.7277900,43.5983200,1,0,0,0
1500000103,39.7317300,43.6120000,1,0,0,0
1500000104,39.7167990,43.6240600,1,0,0,0
1500000105,39.7173960,43.6274540,1,0,0,0
1500000106,39.7157420,43.6285540,1,0,0,0
1500000107,39.7478550,43.6300990,1,0,0,0
1500000108,39.7481450,43.6301560,1,0,0,0
1500000109,39.7147900,43.6305290,1,0,0,0
1500000110,39.6914950,43.6485110,1,0,0,0
1500000111,39.6513330,43.6591170,1,0,0,0
1500000112,39.6579560,43.6600350,1,0,0,0
1500000113,39.6580200,43.6602000,1,0,0,0
1500000114,39.6610820,43.6605400,1,0,0,0
1500000115,39.6606940,43.6606630,1,0,0,0
1500000116,39.6873690,43.6614180,1,0,0,0
1500000117,39.6807060,43.6619890,1,0,0,0
1500000118,39.6705290,43.6621010,1,0,0,0
1500000119,39.6705500,43.6621050,1,0,0,0
1500000120,39.6710440,43.6622990,1,0,0,0
1500000121,39.6362930,43.6644650,1,0,0,0
1500000122,40.2678610,43.6835410,1,0,0,0
1500000123,40.2562340,43.6844850,1,0,0,0
1500000124,39.5961560,43.6874430,1,0,0,0
1500000125,39.5752410,43.7215290,1,0,0,0
1500000126,39.4218560,43.8322010,1,0,0,0
1500000127,39.4008990,43.8780820,1,0,0,0
1500000128,39.3750850,43.8850180,1,0,0,0
1500000129,39.3476580,43.8966660,1,0,0,0
1500000130,39.3449610,43.8985570,1,0,0,0
1500000131,39.3373200,43.9053900,1,0,0,0
1500000132,39.3312900,43.9083780,1,0,0,0
1500000133,39.3393860,43.9120340,1,0,0,0
1500000134,39.3142890,43.9253880,1,0,0,0
1500000135,39.3077510,43.9302220,1,0,0,0
1500000136,39.3061730,43.9461560,1,0,0,0
1500000137,39.2794110,43.9551950,1,0,0,0
1500000138,39.2600270,43.9632780,1,0,0,0
1500000139,39.2342370,43.9837630,1,0,0,0
1500000140,39.1679310,44.0162290,1,0,0,0
1500000141,39.1587440,44.0292190,1,0,0,0
1500000142,39.1584600,44.0316620,1,0,0,0
1500000143,40.8913110,44.0380200,1,0,0,0
1500000144,40.8372700,44.1010400,1,0,0,0
1500000145,39.0582520,44.1028810,1,0,0,0
1500000146,40.7860500,44.1051600,1,0,0,0
1500000147,39.0756800,44.1054100,1,0,0,0
1500000148,40.7865700,44.1055500,1,0,0,0
1500000149,40.7873800,44.1066400,1,0,0,0
1500000150,39.0808850,44.1070280,1,0,0,0
1500000151,39.0976380,44.1124170,1,0,0,0
1500000152,39.1031420,44.1150050,1,0,0,0
1500000153,39.0653800,44.1158100,1,0,0,0
1500000154,40.8118300,44.1317100,1,0,0,0
1500000155,39.0529820,44.1374130,1,0,0,0
1500000156,39.0149710,44.1508910,1,0,0,0
1500000157,38.9966010,44.1657810,1,0,0,0
1500000158,40.8408410,44.1709710,1,0,0,0
1500000159,38.9451590,44.1769710,1,0,0,0
1500000160,38.9454440,44.1771520,1,0,0,0
1500000161,40.8517100,44.2076600,1,0,0,0
1500000162,41.2960500,44.2230300,1,0,0,0
1500000163,41.3085700,44.2253800,1,0,0,0
1500000164,38.8937050,44.2403530,1,0,0,0
1500000165,38.8887410,44.2407770,1,0,0,0
1500000166,41.3805300,44.2438200,1,0,0,0
1500000167,38.8908430,44.2439830,1,0,0,0
1500000168,41.1562090,44.2487250,1,40,0,0
1500000169,41.1396900,44.2506300,1,0,0,0
1500000170,38.8315070,44.2549430,1,0,0,0
1500000171,41.4007200,44.2551500,1,0,0,0
1500000172,38.8285450,44.2593350,1,0,0,0
1500000173,38.8223410,44.2599570,1,0,0,0
1500000174,38.8217130,44.2606140,1,0,0,0
1500000175,41.4182300,44.2662100,1,0,0,0
1500000176,40.8698910,44.2706410,1,0,0,0
1500000177,38.7987170,44.2762790,1,0,0,0
1500000178,38.7845540,44.2849470,1,0,0,0
1500000179,38.7500720,44.3010510,1,0,0,0
